time,open,high,low,close,tick_volume,spread,real_volume,returns,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,position,strategy_returns,cumulative,total_commission
2025-08-27 03:00:00,3390.89,3392.47,3389.67,3392.37,877,10,0,0.0004423643489723794,1.8857142857142597,63.30769230769338,3385.045943951711,3380.0022819724977,3380.2395933731987,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 03:15:00,3392.37,3393.49,3390.84,3391.43,736,16,0,-0.000277092416216429,1.9378571428570857,56.90566037735869,3385.2962990908595,3380.1159906095872,3380.405743607584,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 03:30:00,3391.43,3392.62,3388.98,3389.43,817,16,0,-0.0005897217397971,2.0721428571428078,47.90540540540407,3385.458405008865,3380.2086673199397,3380.5602207719726,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 03:45:00,3389.43,3391.25,3389.15,3389.62,847,14,0,5.605662309005055e-05,2.142142857142809,47.97570850202449,3385.6216048124393,3380.302312421234,3380.710040820148,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 04:00:00,3389.65,3390.01,3386.23,3386.35,1174,16,0,-0.000964709908485295,2.332142857142831,36.31090487238816,3385.6501693295986,3380.362488417043,3380.856738855604,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 04:15:00,3386.35,3386.9,3384.37,3384.72,1000,17,0,-0.00048134422017809264,2.337857142857144,25.73616018845503,3385.613692100987,3380.405846741252,3380.937223591645,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 04:30:00,3384.76,3386.2,3383.38,3386.01,1022,17,0,0.00038112458342198785,2.282142857142844,38.58214042263123,3385.629233587223,3380.4616094602447,3381.0141330247407,hold,,,,0.0,0.0,1.0082401122738165,
2025-08-27 04:45:00,3386.06,3387.86,3385.19,3386.22,1036,15,0,6.20198995275878e-05,2.356428571428588,38.11813186813132,3385.6524008975284,3380.5189068785508,3381.111361047013,buy,3383.863571428571,3388.1051428571427,3389.9902857142856,1.0,-0.008172767749969001,1.0,
2025-08-27 05:00:00,3386.19,3387.01,3384.9,3385.81,809,15,0,-0.00012107896120150397,2.3392857142857144,32.08363374188674,3385.6585812544886,3380.5715545713015,3381.1777368853304,hold,,,,1.0,-0.0004099999999997994,0.9995900000000002,
2025-08-27 05:15:00,3385.85,3386.6,3384.38,3385.62,785,12,0,-5.611655704251817e-05,2.4199999999999755,30.261248185775273,3385.657068264117,3380.6217878591497,3381.2354624549084,hold,,,,1.0,-0.0001900779319521373,0.9994000000000001,
2025-08-27 05:30:00,3385.62,3386.47,3382.16,3383.69,929,17,0,-0.000570058069127577,2.621428571428526,23.42402123423969,3385.579928332191,3380.652317333188,3381.279800033245,hold,,,,0.0,-0.0026344176042418788,0.9967671630463207,
2025-08-27 05:45:00,3383.69,3385.14,3383.28,3384.17,772,16,0,0.0001418569668025782,2.655714285714209,25.87096774193472,3385.524637025046,3380.687319150768,3381.31675632946,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 06:00:00,3384.16,3384.49,3383.62,3384.03,715,14,0,-4.136908015850427e-05,2.577857142857056,27.617079889806433,3385.4660238083775,3380.7205796567305,3381.3484186308065,hold,,,,0.0,0.0,0.9967671630463207,
2025-08-27 06:15:00,3383.99,3383.99,3381.94,3382.1,738,13,0,-0.000570325913186398,2.6035714285713505,22.780881440099577,3385.3340228747156,3380.734305232286,3381.3641314952847,hold,,,,0.0,0.0,0.9967671630463207,
