time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-10-01 11:30:00,3891.81,3893.78,3887.98,3891.82,1163,7,0,0.0,74.4582593250447,5.998000000000002,1.1874406081723117,buy,STRONG_BULLISH,1.0,3882.8230000000003,3909.8140000000003,0.0,-0.00010199444487735132,1.003386790550058,
2025-10-01 11:45:00,3891.88,3893.72,3890.48,3893.0,925,11,0,0.0003032000452229955,74.29848078641677,5.955499999999984,1.185362843835829,buy,STRONG_BULLISH,1.0,3884.06675,3910.8665,1.0,-0.0033753589163768583,1.0,
2025-10-01 12:00:00,3893.03,3895.23,3891.89,3893.88,978,11,0,0.0002260467505779129,78.90334572490713,5.813999999999988,1.1520627749375756,buy,STRONG_BULLISH,1.0,3885.159,3911.322,1.0,0.0008800000000002139,1.0008800000000002,
2025-10-01 12:15:00,3893.7,3893.92,3884.34,3886.14,1127,10,0,-0.0019877345989091078,68.6380811565631,6.164999999999987,1.205891557781077,hold,NEUTRAL,1.0,,,1.0,-0.007733194788586251,0.9931399999999999,
2025-10-01 12:30:00,3886.33,3891.08,3883.65,3888.83,1156,5,0,0.0006922035747554123,75.66785775055288,6.338499999999977,1.2439163199623149,hold,NEUTRAL,1.0,,,1.0,0.002708580864732024,0.9958299999999999,
2025-10-01 12:45:00,3888.7,3891.64,3885.41,3889.03,1032,11,0,5.1429350215848046e-05,74.36816633805329,6.339499999999975,1.2296337962603712,hold,NEUTRAL,1.0,,,1.0,0.00020083749234345305,0.9960300000000002,
2025-10-01 13:00:00,3889.08,3889.56,3885.62,3888.9,975,6,0,-3.3427358492987835e-05,73.2430928982012,6.208499999999981,1.2051595620777957,hold,NEUTRAL,1.0,,,1.0,-0.0001305181570837588,0.9959000000000001,
2025-10-01 13:15:00,3888.89,3889.54,3886.32,3886.47,988,8,0,-0.0006248553575561866,76.34325473521372,6.1584999999999805,1.200674569133584,hold,NEUTRAL,1.0,,,1.0,-0.0024400040164678227,0.9934699999999999,
2025-10-01 13:30:00,3886.3,3887.82,3885.23,3887.39,904,12,0,0.00023671866758268045,72.90836653386373,6.094999999999982,1.1971167066032875,buy,STRONG_BULLISH,1.0,3878.2475,3905.6749999999997,1.0,0.0009260470874812299,0.9943899999999999,
2025-10-01 13:45:00,3887.33,3889.55,3886.18,3887.51,873,13,0,3.0869040667402814e-05,70.21173034801596,6.156999999999994,1.2216754633120317,hold,NEUTRAL,1.0,,,1.0,0.00012067699795892395,0.9945100000000002,
2025-10-01 14:00:00,3887.44,3888.45,3881.27,3883.17,917,15,0,-0.0011163958420685738,66.33708898597322,6.225999999999999,1.2228463683859025,hold,NEUTRAL,1.0,,,1.0,-0.004363958130134571,0.9901700000000001,
2025-10-01 14:15:00,3883.11,3885.38,3881.92,3881.97,934,12,0,-0.00030902587319125985,54.0203193033379,5.974499999999989,1.1678068803752881,hold,NEUTRAL,1.0,,,1.0,-0.0012119131058305754,0.9889699999999998,
2025-10-01 14:30:00,3881.96,3882.62,3878.14,3881.91,1027,15,0,-1.5456069985098075e-05,37.598116169545314,5.921499999999992,1.1469551406213632,sell,BEARISH,1.0,3890.79225,3864.1455,1.0,-6.066918106706343e-05,0.9889099999999998,
2025-10-01 14:45:00,3881.83,3884.39,3881.18,3883.59,984,11,0,0.00043277664860852383,32.54136614340406,5.741499999999997,1.1059211033207468,sell,BEARISH,1.0,3892.2022500000003,3866.3655000000003,1.0,0.0016988401371209605,0.9905900000000002,
2025-10-01 15:00:00,3884.07,3885.44,3881.4,3884.35,1087,13,0,0.00019569522014428742,34.64858199753449,5.5370000000000115,1.0572847049837701,sell,BEARISH,1.0,3892.6555,3867.739,1.0,0.00076721953583192,0.99135,
