time,open,high,low,close,tick_volume,spread,real_volume
2025-01-22 07:00:00,2752.25,2758.68,2750.25,2758.03,3624,12,0
2025-01-22 08:00:00,2758.08,2758.2,2745.59,2746.76,4855,12,0
2025-01-22 09:00:00,2746.77,2753.93,2746.18,2748.45,3379,8,0
2025-01-22 10:00:00,2748.33,2753.93,2746.77,2753.18,4173,5,0
2025-01-22 11:00:00,2753.17,2762.24,2752.83,2758.41,4197,7,0
2025-01-22 12:00:00,2758.41,2763.45,2758.29,2760.15,3611,7,0
2025-01-22 13:00:00,2760.1,2760.54,2756.31,2756.4,3028,10,0
2025-01-22 14:00:00,2756.52,2758.63,2751.64,2758.15,3861,12,0
2025-01-22 15:00:00,2758.14,2761.63,2750.89,2757.63,5409,5,0
2025-01-22 16:00:00,2757.64,2758.24,2750.25,2754.01,5688,11,0
2025-01-22 17:00:00,2753.6,2760.35,2750.48,2759.4,5637,5,0
2025-01-22 18:00:00,2759.45,2760.2,2756.05,2758.35,4696,10,0
2025-01-22 19:00:00,2758.33,2758.44,2755.95,2756.46,3469,5,0
2025-01-22 20:00:00,2756.45,2759.32,2754.89,2757.79,3782,6,0
2025-01-22 21:00:00,2757.8,2757.8,2754.99,2755.29,3072,7,0
2025-01-22 22:00:00,2755.24,2757.15,2754.84,2756.61,2986,5,0
2025-01-22 23:00:00,2756.65,2757.13,2754.51,2756.18,1161,8,0
2025-01-23 01:00:00,2756.17,2756.49,2753.51,2755.55,1508,5,0
2025-01-23 02:00:00,2755.42,2755.89,2752.83,2755.27,1637,12,0
2025-01-23 03:00:00,2755.33,2756.32,2750.62,2752.79,4389,10,0
2025-01-23 04:00:00,2752.79,2755.03,2752.01,2752.52,3333,12,0
2025-01-23 05:00:00,2752.53,2753.03,2749.51,2750.01,2938,12,0
2025-01-23 06:00:00,2749.95,2753.66,2749.87,2751.71,1854,10,0
2025-01-23 07:00:00,2751.75,2753.53,2751.09,2751.99,3275,8,0
2025-01-23 08:00:00,2751.97,2755.59,2751.23,2753.2,3161,5,0
2025-01-23 09:00:00,2753.32,2754.63,2751.62,2752.79,3043,8,0
2025-01-23 10:00:00,2752.8,2754.83,2752.0,2752.66,3454,5,0
2025-01-23 11:00:00,2752.79,2753.84,2740.87,2745.87,4542,5,0
2025-01-23 12:00:00,2745.74,2752.43,2745.26,2751.34,3862,5,0
2025-01-23 13:00:00,2751.47,2754.45,2750.85,2751.96,3725,5,0
2025-01-23 14:00:00,2751.85,2753.41,2742.08,2744.73,5101,5,0
2025-01-23 15:00:00,2744.71,2745.79,2735.58,2741.46,5821,9,0
2025-01-23 16:00:00,2741.72,2747.41,2740.23,2745.91,5815,7,0
2025-01-23 17:00:00,2746.21,2749.54,2741.99,2746.63,5020,12,0
2025-01-23 18:00:00,2746.26,2757.33,2744.23,2754.05,5509,7,0
2025-01-23 19:00:00,2754.11,2758.92,2752.38,2757.71,4559,12,0
2025-01-23 20:00:00,2757.74,2758.23,2755.09,2755.77,3964,8,0
2025-01-23 21:00:00,2755.81,2757.99,2753.82,2754.04,3785,12,0
2025-01-23 22:00:00,2754.06,2754.64,2751.28,2753.66,4109,11,0
2025-01-23 23:00:00,2753.61,2754.52,2751.69,2754.52,1217,13,0
2025-01-24 01:00:00,2754.64,2755.61,2753.49,2754.67,1180,5,0
2025-01-24 02:00:00,2754.65,2761.08,2754.44,2759.77,2183,12,0
2025-01-24 03:00:00,2759.72,2762.57,2758.36,2762.26,4048,9,0
2025-01-24 04:00:00,2762.38,2775.35,2762.33,2774.25,5128,9,0
2025-01-24 05:00:00,2774.28,2777.4,2771.01,2772.24,4319,12,0
2025-01-24 06:00:00,2772.23,2775.0,2770.57,2772.08,3217,12,0
2025-01-24 07:00:00,2772.3,2776.73,2772.24,2775.27,3551,12,0
2025-01-24 08:00:00,2775.22,2778.3,2773.17,2773.81,4272,12,0
2025-01-24 09:00:00,2773.69,2775.4,2772.08,2772.74,3706,12,0
2025-01-24 10:00:00,2772.68,2775.33,2770.04,2774.06,3910,12,0
2025-01-24 11:00:00,2773.25,2777.76,2771.05,2772.72,3424,12,0
2025-01-24 12:00:00,2772.73,2776.17,2771.53,2775.72,3484,6,0
2025-01-24 13:00:00,2775.72,2780.05,2774.18,2776.71,3703,5,0
2025-01-24 14:00:00,2776.54,2779.11,2776.16,2778.67,3620,5,0
2025-01-24 15:00:00,2778.68,2784.58,2777.89,2782.37,5311,6,0
2025-01-24 16:00:00,2782.37,2784.26,2773.87,2777.35,5741,6,0
2025-01-24 17:00:00,2777.95,2785.94,2775.59,2775.82,5681,6,0
2025-01-24 18:00:00,2775.89,2777.52,2769.99,2772.06,5167,9,0
2025-01-24 19:00:00,2771.91,2776.17,2770.73,2773.35,3850,8,0
2025-01-24 20:00:00,2773.36,2774.13,2771.39,2773.41,3531,8,0
2025-01-24 21:00:00,2773.46,2775.26,2771.36,2774.64,3265,5,0
2025-01-24 22:00:00,2774.66,2774.85,2770.69,2771.04,3532,6,0
2025-01-24 23:00:00,2771.11,2772.1,2770.42,2771.48,1547,5,0
2025-01-27 01:00:00,2769.76,2769.81,2764.72,2767.27,3038,13,0
2025-01-27 02:00:00,2767.18,2770.94,2765.83,2769.68,2727,12,0
2025-01-27 03:00:00,2769.79,2772.53,2762.88,2762.9,4729,12,0
2025-01-27 04:00:00,2762.9,2763.61,2754.1,2756.14,4437,5,0
